city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,Grand Gaube,-20.0064,57.6608,68.4,74,64,5.01,MU,6/22/21 2:46
303,Gornopravdinsk,60.05,69.9,55.49,46,25,5.14,RU,6/22/21 2:46
304,Shetpe,44.1667,52.1167,85.96,24,0,6.78,KZ,6/22/21 2:46
305,Thanh Hoa,19.8,105.7667,98.76,45,100,3.33,VN,6/22/21 2:46
306,Pasighat,28.0667,95.3333,79.23,96,95,2.33,IN,6/22/21 2:46
307,Ulladulla,-35.35,150.4667,64.87,54,13,5.84,AU,6/22/21 2:46
308,Karasjok,69.4719,25.5112,50.11,87,100,7.81,NO,6/22/21 2:46
309,Tessalit,20.1986,1.0114,83.73,40,6,12.73,ML,6/22/21 2:46
310,Mugur-Aksy,50.35,90.5,57.4,40,11,11.83,RU,6/22/21 2:46
311,Amqui,48.4638,-67.4313,73.89,96,100,12.17,CA,6/22/21 2:46
312,Auki,-8.7676,160.7034,86.83,61,100,2.39,SB,6/22/21 2:46
