City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
221,Borovichi,RU,2021-06-22 03:40:32,58.3878,33.9155,72.81,70,60,5.37,broken clouds,0,0
222,Georgetown,MY,2021-06-22 03:37:36,5.4112,100.3354,88.9,67,20,1.01,few clouds,0,0
223,Iguape,BR,2021-06-22 03:40:32,-24.7081,-47.5553,60.89,89,99,1.63,overcast clouds,0,0
224,Formosa,AR,2021-06-22 03:40:33,-26.1775,-58.1781,57.18,100,90,2.3,overcast clouds,0,0
225,Iracoubo,GF,2021-06-22 03:38:49,5.4802,-53.2011,75.45,91,99,6.87,overcast clouds,0,0
226,Birobidzhan,RU,2021-06-22 03:40:33,48.8,132.95,80.37,45,19,9.93,few clouds,0,0
227,Sakakah,SA,2021-06-22 03:40:33,29.9697,40.2064,78.37,28,0,7.47,clear sky,0,0
228,Kadoma,JP,2021-06-22 03:40:33,34.7333,135.5833,83.17,58,75,1.14,broken clouds,0,0
229,Oskaloosa,US,2021-06-22 03:40:34,41.2964,-92.6444,61.52,58,1,3.44,clear sky,0,0
230,Chokurdakh,RU,2021-06-22 03:37:58,70.6333,147.9167,75.49,24,0,11.88,clear sky,0,0
231,Shache,CN,2021-06-22 03:40:34,38.4167,77.2406,82.78,12,22,16.69,few clouds,0,0
232,Turayf,SA,2021-06-22 03:40:34,31.6725,38.6637,68.25,56,0,4.61,clear sky,0,0
233,Viransehir,TR,2021-06-22 03:40:35,37.2353,39.7631,80.2,21,0,5.97,clear sky,0,0
234,Vanavara,RU,2021-06-22 03:38:55,60.34,102.2797,58.73,67,100,7.7,overcast clouds,0,0
235,Jogindarnagar,IN,2021-06-22 03:40:35,31.9833,76.7667,83.71,48,0,4.85,clear sky,0,0
